ID,city,NO,VMDPP,VMKMT,VMOTHER,VCDPP,VCKMT,VCOTHER,VP
B151,B,151,401,537,9,208,213,505,1
B152,B,152,376,374,11,197,81,501,1
B153,B,153,253,312,4,122,78,356,1
B154,B,154,339,367,6,186,132,411,1
B155,B,155,382,520,9,198,139,546,1
B156,B,156,416,488,10,201,125,623,1
B157,B,157,225,163,0,96,36,252,1
B158,B,158,399,440,14,213,150,485,1
B159,B,159,290,306,7,150,114,344,1
B160,B,160,356,424,12,142,108,532,1
B161,B,161,510,538,20,236,135,708,1
B162,B,162,441,419,9,205,131,535,1
B163,B,163,547,589,13,234,134,789,1
B164,B,164,572,435,10,291,141,582,1
B165,B,165,519,527,15,249,177,612,1
B166,B,166,525,521,11,301,215,542,1
B167,B,167,420,470,8,203,132,569,1
B168,B,168,493,425,15,257,124,550,1
B169,B,169,442,395,15,189,152,512,1
B170,B,170,334,340,13,171,132,377,1
B171,B,171,407,424,15,169,132,526,1
B172,B,172,375,408,13,178,109,529,1
B173,B,173,310,440,5,134,76,552,1
B174,B,174,375,476,7,202,146,516,1
B175,B,175,466,542,13,203,128,691,1
B176,B,176,473,462,17,221,120,609,1
B177,B,177,390,476,9,166,168,545,1
B178,B,178,397,412,9,172,128,520,1
B179,B,179,450,544,17,213,239,530,1
B180,B,180,305,370,8,124,79,498,1
B181,B,181,439,405,7,204,127,512,1
B182,B,182,339,372,4,160,176,383,1
B183,B,183,400,395,11,160,188,451,1
B184,B,184,430,510,3,186,221,549,1
B185,B,185,397,387,9,147,180,468,1
B186,B,186,390,437,11,246,360,387,1
B187,B,187,267,300,4,175,238,161,1
B188,B,188,343,468,8,213,361,233,1
B189,B,189,355,317,2,226,214,230,1
B190,B,190,132,212,2,89,140,118,1
B191,B,191,424,374,9,251,287,260,1
B192,B,192,366,453,8,204,372,240,1
B193,B,193,505,571,18,298,449,346,1
B194,B,194,509,541,9,322,356,380,1
B195,B,195,419,596,17,249,513,245,1
B196,B,196,463,538,8,294,439,288,1
B197,B,197,472,499,14,281,404,291,1
B198,B,198,481,466,11,359,362,229,1
B199,B,199,649,646,15,496,472,334,1
B200,B,200,605,570,10,405,431,342,1
B201,B,201,411,347,11,254,251,254,1
B202,B,202,553,475,9,362,359,311,1
B203,B,203,488,423,11,246,365,298,1
B204,B,204,466,323,11,228,293,285,1
B205,B,205,431,496,12,254,344,336,1
B206,B,206,369,525,8,241,354,300,1
B207,B,207,330,431,3,216,329,206,1
B208,B,208,264,394,4,163,313,177,1
B209,B,209,389,438,15,216,389,237,1
B210,B,210,278,398,7,164,275,232,1
B211,B,211,287,387,11,193,236,247,1
B212,B,212,392,384,7,262,333,177,1
B213,B,213,486,719,19,277,672,249,1
B214,B,214,383,653,7,235,637,160,1
B215,B,215,431,614,11,264,490,286,1
B216,B,216,404,564,6,253,479,229,1
B217,B,217,412,588,5,277,490,224,1
B218,B,218,490,608,14,270,547,287,1
B219,B,219,442,562,25,237,457,320,1
B220,B,220,461,640,15,284,584,227,1
B221,B,221,459,562,23,278,483,254,1
B222,B,222,357,398,10,191,440,143,1
B223,B,223,346,428,9,183,425,180,1
B224,B,224,282,407,11,175,402,126,1
B225,B,225,420,687,11,220,701,186,1
B226,B,226,395,663,14,227,664,172,1
B227,B,227,350,595,8,172,654,114,1
B228,B,228,397,626,8,206,651,147,1
B229,B,229,389,625,11,168,736,132,1
B230,B,230,360,548,11,177,581,137,1
B231,B,231,390,575,10,235,579,136,1
B232,B,232,423,617,5,257,612,159,1
B233,B,233,91,503,12,45,432,76,1
B234,B,234,450,714,9,247,656,288,1
B235,B,235,324,502,7,166,463,183,1
B236,B,236,183,489,1,93,421,111,1
B237,B,237,338,453,7,156,258,407,1
B238,B,238,334,435,6,162,268,328,1
B239,B,239,541,609,26,312,750,256,1
B240,B,240,370,524,15,211,583,95,1
B241,B,241,384,482,12,252,551,81,1
B242,B,242,344,502,9,213,540,84,1
B243,B,243,300,382,16,179,431,74,1
B244,B,244,221,377,13,160,390,66,1
B245,B,245,516,643,5,254,791,109,1
B246,B,246,506,595,15,290,704,96,1
B247,B,247,260,401,8,152,449,71,1
B248,B,248,375,615,18,267,642,92,1
B249,B,249,295,411,14,197,422,92,1
B250,B,250,443,505,16,269,574,114,1
B251,B,251,366,417,9,254,441,94,1
B252,B,252,376,442,20,237,483,105,1
B253,B,253,395,169,11,217,314,38,1
B254,B,254,500,512,20,312,589,117,1
B255,B,255,443,358,11,303,414,76,1
B256,B,256,488,487,15,359,524,98,1
B257,B,257,534,645,19,360,704,125,1
B258,B,258,570,429,8,385,521,89,1
B259,B,259,385,483,18,172,628,72,1
B260,B,260,375,389,9,161,541,72,1
B261,B,261,407,492,15,165,664,70,1
B262,B,262,525,579,14,232,809,72,1
B263,B,263,385,568,14,236,604,95,0
B264,B,264,492,464,13,292,532,164,1
B265,B,265,395,594,17,224,661,110,1
B266,B,266,354,389,7,242,407,85,0
B267,B,267,397,588,10,293,559,114,1
B268,B,268,471,609,12,254,715,121,1
B269,B,269,288,394,6,146,427,96,1
B270,B,270,452,527,14,276,559,140,1
B271,B,271,398,562,12,259,565,169,1
B272,B,272,400,538,11,262,520,161,1
B273,B,273,442,489,10,303,455,156,1
B274,B,274,560,618,21,321,699,165,1
B275,B,275,332,684,6,225,509,251,1
B276,B,276,312,674,3,202,576,211,1
B277,B,277,410,598,14,291,469,254,1
B278,B,278,366,653,14,260,508,259,1
B279,B,279,406,627,16,252,470,300,1
B280,B,280,323,377,8,229,317,125,1
B281,B,281,325,326,8,218,333,127,1
B282,B,282,299,435,9,197,428,107,1
B283,B,283,322,595,11,217,538,159,1
B284,B,284,455,472,10,205,645,308,1
B285,B,285,367,510,11,194,571,112,1
B286,B,286,440,540,12,230,664,108,1
B287,B,287,282,374,7,133,485,45,1
B288,B,288,390,476,10,216,545,105,1
B289,B,289,399,475,9,229,563,89,1
B290,B,290,311,373,4,207,412,76,1
B291,B,291,466,589,18,237,736,93,1
B292,B,292,347,542,8,216,582,98,1
B293,B,293,321,572,5,195,601,99,1
B294,B,294,372,536,15,197,628,100,1
B295,B,295,363,535,15,263,520,113,1
B296,B,296,483,727,16,297,808,141,1
B297,B,297,377,506,12,228,579,74,1
B298,B,298,259,333,6,162,358,84,1
B299,B,299,351,531,10,211,563,107,1
B300,B,300,264,338,10,140,394,79,1
B301,B,301,492,635,18,296,753,98,1
B302,B,302,532,600,13,350,674,102,1
B303,B,303,279,406,12,137,496,62,1
B304,B,304,449,491,9,252,592,94,1
B305,B,305,539,695,20,330,789,140,1
B306,B,306,460,627,15,284,689,117,1
B307,B,307,415,591,7,279,600,129,1
B308,B,308,384,634,8,242,603,148,1
B309,B,309,519,610,16,326,650,189,1
B310,B,310,456,576,13,313,565,174,1
B311,B,311,435,614,9,231,525,176,1
B312,B,312,596,528,20,343,652,239,1
B313,B,313,505,580,13,278,613,143,1
B314,B,314,387,473,11,242,510,153,1
B315,B,315,500,605,13,342,549,195,1
B316,B,316,363,727,13,259,685,159,1
B317,B,317,414,530,11,254,594,320,1
B318,B,318,556,623,14,293,634,262,1
